Range: 4603 - 9207
(3340,4591)
(3354,4860)
(3520,5288)
(3507,5054)
(2993,4911)
(2973,5114)
(3123,5104)
(2786,5140)
(2947,5300
(3181,4880)
(4030,5456)
(4017,5617)
(4270,5365)
(4224,5569)
(4480,5572)
(4675,5365)
(5562,5151)
(5582,5573)
(3238,6168)
(3606,6303)
(5136,6040)
(3686,6488)
(4021,6108)
(4190,5946)
(4227,6117)
(3732,5981)
(4281,6359)
(4655,6474)
(3771,5783)
(3484,6478)
(2705,6600)
(2903,6588)
(3522,6718)
(4420,6772)
(4667,7047)
(4460,7058)
(3069,7019)
(2730,7191)
(2295,7400)
(2240,7211)
(2564,7438)
(2753,7620)
(2997,7618)
(3105,7431)
(4712,7443)
(5190,7260)
(2405,7610)
(2924,7797)
(2108,7741)
(2303,7741)
(3046,8091)
(3212,8068)
(4325,7962)
(4539,7986)
(4777,7846)
(5191,7738)
(5326,7978)
(5477,7910)
(5250,8238)
(5426,8220)
(4378,8216)
(2856,8670)
(3008,8490)
(3276,8297)
(3369,8278)
(3479,8206)
(3410,8502)
(3301,8786)
(3350,8998)
(3859,9031)
(4573,9098)
(4411,8962)
(4410,8529)
(5249,8239)
(5298,8652)
(5424,8223)
(6167,8333)
(6951,8910)
(7022,9120)
(7220,9051)
(6820,9110)
(7420,8970)
(7780,8883)

