Wood Coords:
(3051,2035),
(3075,2032),
(3073,2136),
(3064,2110),		
(3170,2130),
(3180,2114),
(4837,1580),
(4840,1560),		
(4842,1564),
(4741,1715),
(4747,1723),
(5800,2830),		
(5818,2822),
(6005,2837),
(6007,2821),
(6610,2453),		
(6608,2458),		
(5674,2302),
(5718,2332),
(5645,2370),		
(5645,2333),
(5967,2295),
(5972,2278),
(3910,1560),		
(3917,1557),
(3925,1602),
(3929,1595),
(1155,5894),		
(1164,5889),
(1380,5886),
(1395,5886),
(642,6354),		
(647,6358),
(643,6343),
(962,6446),
(974,6445),		
(1559,6243),
(1563,6242),
(1662,6298),
(1667,6302),		
(1996,6012),
(4835,8674),
(4842,8680),
(4934,8700),		
(4819,10307),
(4826,10303),		
(6165,10611),
(6151,10605),
(6252,10588),
(6254,10584),		
(4580,9886),
(4580,9878),
(4096,9652),
(4090,9636),		
(4840,5990),
(4843,5978),
(4500,6651),
(4504,6643),		
(4550,6682),
(4548,6677),		
(5330,6551),
(5321,6546),
(8132,10351),
(8136,10351),		
(7321,9275),
(7320,9263),
(7306,9222),
(7305,9216),		
(3800,13214),
(3794,13200),
(3784,13166),
(3782,13153),		
(3780,11992),
(3758,11960),		
(3818,11942),
(3823,11941),
(3818,11983),
(3817,11982),
(3107,9504),
(6170,9424)	







